run_id,task_id,condition,model,bucket,mech_class,mech_detail,declared_auto
M3_C3_KP3_T3_B_r08,KP3_T3,C3,M3,numeric_wrong,UNMATCHED,unmatched,Y
M3_C3_KP4_T1_B_r08,KP4_T1,C3,M3,numeric_wrong,CN,hardcoded_constant,Y
M1_C1_KP4_T3_B_r08,KP4_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C2_KP4_T3_can_r08,KP4_T3,C2,M1,defensible,CV,declared_alt:vega_approximation,N
M1_C3_KP4_T3_B_r08,KP4_T3,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP4_T3_B_r08,KP4_T3,C1,M3,numeric_wrong,CV,vega_approximation,Y
M2_C3_KP4_T3_B_r08,KP4_T3,C3,M2,numeric_wrong,UNMATCHED,unmatched,N
M1_C1_KP5_T1_B_r08,KP5_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C2_KP4_T3_can_r08,KP4_T3,C2,M3,defensible,CV,declared_alt:vega_approximation,N
M1_C2_KP5_T1_can_r08,KP5_T1,C2,M1,numeric_wrong,CV,sign_flip,Y
M1_C3_KP5_T1_B_r08,KP5_T1,C3,M1,numeric_wrong,CN,hardcoded_constant,Y
M3_C1_KP5_T1_B_r08,KP5_T1,C1,M3,numeric_wrong,CN,hardcoded_constant,Y
M1_C1_KP5_T2_B_r08,KP5_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C2_KP5_T2_can_r08,KP5_T2,C2,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP5_T2_B_r08,KP5_T2,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C3_KP4_T3_B_r08,KP4_T3,C3,M3,numeric_wrong,CV,vega_approximation,N
M1_C1_KP5_T3_B_r08,KP5_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C2_KP5_T3_can_r08,KP5_T3,C2,M1,numeric_wrong,CV,sign_flip,Y
M3_C3_KP5_T1_B_r08,KP5_T1,C3,M3,numeric_wrong,CN,hardcoded_constant,Y
M1_C2_KP6_T1_can_r08,KP6_T1,C2,M1,numeric_wrong,CV,rf_geometric,Y
M1_C1_KP6_T1_B_r08,KP6_T1,C1,M1,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M2_C1_KP6_T1_B_r08,KP6_T1,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,N
M1_C3_KP6_T1_B_r08,KP6_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M2_C3_KP6_T1_B_r08,KP6_T1,C3,M2,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP6_T2_B_r08,KP6_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C2_KP6_T1_can_r08,KP6_T1,C2,M3,numeric_wrong,CV,rf_geometric,Y
M2_C1_KP6_T2_B_r08,KP6_T2,C1,M2,numeric_wrong,UNMATCHED,unmatched,Y
M2_C3_KP6_T2_B_r08,KP6_T2,C3,M2,numeric_wrong,UNMATCHED,unmatched,N
M1_C2_KP6_T3_can_r08,KP6_T3,C2,M1,numeric_wrong,CV,silent_alt:ddof_0,N
M3_C1_KP6_T3_B_r08,KP6_T3,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
